Production,Sales,demand,population,gdp,disbusment,interestrate,year,month
443.0,423.0,460.0,135.9,247308.962,151462.04,8.33,2018,5
236.0,245.0,276.0,122.6,179759.0,62113.83,10.42,2010,3
675.0,514.0,686.0,138.3,280450.953,152902.0,7.0,2020,1
392.0,380.0,364.7,131.1,218252.973,119126.5,10.01,2015,4
331.0,270.0,321.0,137.7,246430.619,151833.25,7.42,2019,8
325.0,313.0,312.0,129.9,204911.97,107694.17,10.23,2014,7
736.0,721.0,752.0,136.8,270481.295,150587.04,8.04,2018,12
437.0,412.0,422.0,129.4,209428.31,106545.67,10.24,2014,3
433.0,431.0,502.0,141.5,256551.33,232030.94,8.43,2022,9
612.0,621.0,618.0,130.5,209098.638,109225.5,10.22,2014,11
592.0,584.0,600.0,129.1,209126.97,105780.0,10.25,2014,1
361.0,334.0,322.0,134.4,232482.973,164763.68,8.83,2017,5
251.0,243.0,250.0,125.3,195723.99,79617.25,12.75,2011,10
300.0,301.0,285.0,130.3,206557.971,108842.67,10.22,2014,10
586.0,574.0,685.0,141.2,260371.32,225832.8,8.31,2022,6
337.0,354.0,337.0,139.3,274752.033,181258.0,7.45,2020,10
593.0,591.0,591.0,127.6,206223.98,93565.42,10.94,2013,2
848.0,836.0,853.0,140.8,313161.38,217568.62,8.14,2022,2
306.0,285.0,338.0,122.5,181018.0,61213.92,10.33,2010,2
411.0,397.0,398.0,129.7,208023.31,106928.5,10.24,2014,5
731.0,717.0,784.0,139.4,293751.033,184408.67,7.5,2020,11
378.0,386.0,380.0,136.3,246475.295,151087.04,8.21,2018,8
422.0,414.0,448.0,135.8,251353.962,151587.04,8.37,2018,4
333.0,260.0,315.0,137.8,252069.286,152047.0,7.33,2019,9
370.0,348.0,345.0,134.2,235400.973,166379.51,8.87,2017,4
381.0,322.0,372.0,132.5,231308.317,149691.17,9.33,2016,3
700.0,578.0,684.0,138.4,230779.653,156052.67,7.05,2020,2
903.0,895.0,900.0,141.7,254004.67,236163.04,8.6,2022,11
234.0,191.0,219.0,125.2,194049.66,78672.33,12.58,2011,9
529.0,522.0,524.0,132.1,222044.983,142466.5,9.47,2015,12
691.0,673.0,702.0,136.7,265734.628,150712.04,8.08,2018,11
306.0,300.0,325.0,124.3,190531.0,73002.83,11.58,2011,3
359.0,377.0,398.0,134.9,238209.633,158300.36,8.67,2017,9
396.0,383.0,375.0,136.2,239218.962,151212.04,8.25,2018,7
